Season,Team,rank,points,members,foreign_players,mean_age,salaries,spending,Mean_Player_Rating,Wins,Draws,Losses,Goals_For,Goals_Against,Goal_Difference
2015-2016,Leicester,1.0,81.0,36.0,18.0,24.7,0,36800000,6.1,23.0,12.0,3.0,68.0,36.0,32.0
2015-2016,Arsenal,2.0,71.0,44.0,30.0,22.9,0,24100000,6.5,20.0,11.0,7.0,65.0,36.0,29.0
2015-2016,Tottenham,3.0,70.0,34.0,16.0,22.6,0,67000000,6.1,19.0,13.0,6.0,69.0,35.0,34.0
2015-2016,Manchester City,4.0,66.0,56.0,41.0,23.2,582000,196320000,6.3,19.0,9.0,10.0,71.0,41.0,30.0
2015-2016,Manchester United,5.0,66.0,50.0,27.0,22.3,1840000,146000000,6.0,19.0,9.0,10.0,49.0,35.0,14.0
2015-2016,Southampton,6.0,63.0,34.0,19.0,23.8,725000,53200000,6.1,18.0,9.0,11.0,59.0,41.0,18.0
2015-2016,West Ham,7.0,62.0,57.0,25.0,22.1,608000,55800000,6.0,16.0,14.0,8.0,65.0,51.0,14.0
2015-2016,Liverpool,8.0,60.0,52.0,29.0,21.6,377000,112000000,5.9,16.0,12.0,10.0,63.0,50.0,13.0
2015-2016,Stoke City,9.0,51.0,31.0,25.0,25.9,0,11800000,5.7,14.0,9.0,15.0,41.0,55.0,-14.0
2015-2016,Chelsea,10.0,50.0,51.0,34.0,22.6,1390000,72900000,5.8,12.0,14.0,12.0,59.0,53.0,6.0
2015-2016,Everton,11.0,47.0,47.0,21.0,23.1,0,30500000,5.9,11.0,14.0,13.0,59.0,55.0,4.0
2015-2016,Swansea,12.0,47.0,38.0,32.0,24.2,0,19800000,5.7,12.0,11.0,15.0,42.0,52.0,-10.0
2015-2016,Watford,13.0,45.0,45.0,37.0,24.7,0,34550000,5.7,12.0,9.0,17.0,40.0,50.0,-10.0
2015-2016,West Bromwich Albion,14.0,43.0,39.0,20.0,24.2,0,38700000,5.7,10.0,13.0,15.0,34.0,48.0,-14.0
2015-2016,Crystal Palace,15.0,42.0,42.0,19.0,24.8,0,25000000,5.5,11.0,9.0,18.0,39.0,51.0,-12.0
2015-2016,Bournemouth,16.0,42.0,45.0,17.0,24.1,225000,63950000,5.5,11.0,9.0,18.0,45.0,67.0,-22.0
2015-2016,Sunderland,17.0,39.0,45.0,27.0,24.7,0,52800000,5.6,9.0,12.0,17.0,48.0,62.0,-14.0
2015-2016,Newcastle,18.0,37.0,41.0,25.0,23.2,0,133800000,5.6,9.0,10.0,19.0,44.0,65.0,-21.0
